author,max_additions,max_additions_time,max_additions_pr_link,max_deletions,max_deletions_time,max_deletions_pr_link,fastest_merge_time,fastest_merge_pr_link,latest_night_submission_time,latest_night_submission_link
nepeplwu,1018,2024-08-29 16:29:34,https://github.com/PaddlePaddle/docs/pull/6851,2067,2024-08-29 16:29:34,https://github.com/PaddlePaddle/docs/pull/6851,0 days 00:02:14,https://github.com/PaddlePaddle/docs/pull/6911,,
neteroster,2,2024-03-27 22:02:58,https://github.com/PaddlePaddle/PaddleOCR/pull/11820,3,2024-03-27 22:02:58,https://github.com/PaddlePaddle/PaddleOCR/pull/11820,0 days 13:23:38,https://github.com/PaddlePaddle/PaddleOCR/pull/11820,,
newway,126,2024-08-01 14:49:24,https://github.com/PaddlePaddle/Paddle-Lite/pull/10546,13,2024-08-01 14:49:24,https://github.com/PaddlePaddle/Paddle-Lite/pull/10546,1 days 14:05:47,https://github.com/PaddlePaddle/Paddle/pull/67058,,
nickyoungforu,1646,2024-07-12 21:32:09,https://github.com/PaddlePaddle/PaddleHelix/pull/300,7,2024-07-15 11:26:39,https://github.com/PaddlePaddle/PaddleHelix/pull/302,0 days 00:00:58,https://github.com/PaddlePaddle/PaddleHelix/pull/300,,
onecatcn,4,2024-07-04 17:15:45,https://github.com/PaddlePaddle/PaddleX/pull/1781,4,2024-07-04 17:15:45,https://github.com/PaddlePaddle/PaddleX/pull/1781,3 days 21:02:07,https://github.com/PaddlePaddle/PaddleX/pull/1781,,
onepick,88,2024-04-22 15:03:41,https://github.com/PaddlePaddle/Paddle/pull/63738,18,2024-04-22 15:03:41,https://github.com/PaddlePaddle/Paddle/pull/63738,19 days 02:48:27,https://github.com/PaddlePaddle/Paddle/pull/63738,,
ooooo-create,331,2024-11-09 13:51:04,https://github.com/PaddlePaddle/Paddle/pull/69261,473,2024-04-23 10:55:39,https://github.com/PaddlePaddle/Paddle/pull/63769,0 days 05:31:46,https://github.com/PaddlePaddle/Paddle/pull/61503,,
paddle-models,0,,,0,,,0,0,,
pangengzheng,0,,,0,,,0,0,,
peiswang,0,,,0,,,0,0,,
phlrain,183,2024-01-03 15:40:22,https://github.com/PaddlePaddle/Paddle/pull/60533,12222,2024-06-11 20:21:47,https://github.com/PaddlePaddle/Paddle/pull/65040,0 days 05:01:52,https://github.com/PaddlePaddle/Paddle/pull/68535,,
pkhk-1,509,2024-12-19 15:44:13,https://github.com/PaddlePaddle/PaddleMIX/pull/894,26,2024-05-30 15:36:12,https://github.com/PaddlePaddle/PaddleMIX/pull/557,0 days 01:27:08,https://github.com/PaddlePaddle/PaddleMIX/pull/557,,
pkuzyc,907,2024-05-11 19:36:30,https://github.com/PaddlePaddle/Paddle/pull/64223,244,2024-11-09 15:50:11,https://github.com/PaddlePaddle/Paddle/pull/69262,1 days 16:00:42,https://github.com/PaddlePaddle/Paddle/pull/67052,,
plusNew001,1846,2024-07-22 11:05:24,https://github.com/PaddlePaddle/PaddleTest/pull/2889,333,2024-07-22 11:05:24,https://github.com/PaddlePaddle/PaddleTest/pull/2889,0 days 00:08:48,https://github.com/PaddlePaddle/PaddleTest/pull/2813,,
pminimd,0,,,0,,,0,0,,
psky1111,67,2024-02-27 19:29:33,https://github.com/PaddlePaddle/PaddleClas/pull/3097,5,2024-02-27 19:29:33,https://github.com/PaddlePaddle/PaddleClas/pull/3097,5 days 18:48:56,https://github.com/PaddlePaddle/PaddleClas/pull/3097,,
qili93,186,2024-03-14 20:58:52,https://github.com/PaddlePaddle/Paddle-Inference-Demo/pull/510,1380,2024-04-26 16:10:14,https://github.com/PaddlePaddle/PaddleCustomDevice/pull/1186,0 days 00:12:02,https://github.com/PaddlePaddle/Paddle-Inference-Demo/pull/510,,
qingzhong1,1,2024-01-08 11:25:58,https://github.com/PaddlePaddle/PaddleNLP/pull/7793,8,2024-01-08 11:25:58,https://github.com/PaddlePaddle/PaddleNLP/pull/7793,0 days 04:22:11,https://github.com/PaddlePaddle/PaddleNLP/pull/7793,,
quanxiang-liu,588,2024-06-03 15:18:47,https://github.com/PaddlePaddle/PaddleTest/pull/2818,2,2024-07-08 20:16:41,https://github.com/PaddlePaddle/PaddleTest/pull/2870,0 days 00:01:14,https://github.com/PaddlePaddle/PaddleTest/pull/2870,,
qwedc001,16,2024-04-15 13:55:46,https://github.com/PaddlePaddle/PaddleOCR/pull/11934,11,2024-04-15 13:55:46,https://github.com/PaddlePaddle/PaddleOCR/pull/11934,0 days 11:46:52,https://github.com/PaddlePaddle/PaddleOCR/pull/11927,,
qzylalala,1114,2024-11-18 22:25:33,https://github.com/PaddlePaddle/Paddle2ONNX/pull/1434,569,2024-11-18 22:25:33,https://github.com/PaddlePaddle/Paddle2ONNX/pull/1434,0 days 00:00:40,https://github.com/PaddlePaddle/Paddle2ONNX/pull/1389,2024-09-08 00:49:56,https://github.com/PaddlePaddle/Paddle2ONNX/pull/1377
raining-dark,0,,,0,,,0,0,,
rainyfly,393,2024-02-18 10:16:38,https://github.com/PaddlePaddle/FastDeploy/pull/2371,16,2024-02-28 19:47:40,https://github.com/PaddlePaddle/FastDeploy/pull/2383,0 days 00:00:47,https://github.com/PaddlePaddle/FastDeploy/pull/2383,,
ranchongzhi,1572,2024-01-24 17:46:19,https://github.com/PaddlePaddle/PaddleClas/pull/3082,0,2024-01-24 17:46:19,https://github.com/PaddlePaddle/PaddleClas/pull/3082,10 days 21:25:52,https://github.com/PaddlePaddle/PaddleClas/pull/3082,,
raoyutian,0,,,0,,,0,0,,
renhongru1990,0,,,0,,,0,0,,
rical730,373,2024-04-17 16:53:41,https://github.com/PaddlePaddle/PARL/pull/1139,68,2024-04-18 18:49:44,https://github.com/PaddlePaddle/PARL/pull/1140,0 days 00:00:58,https://github.com/PaddlePaddle/PARL/pull/1140,,
rich04lin,0,,,0,,,0,0,,
risemeup1,1290,2024-10-15 16:54:49,https://github.com/PaddlePaddle/Paddle2ONNX/pull/1407,867,2024-10-15 16:54:49,https://github.com/PaddlePaddle/Paddle2ONNX/pull/1407,0 days 00:25:21,https://github.com/PaddlePaddle/Paddle/pull/62221,2024-02-03 03:00:52,https://github.com/PaddlePaddle/Paddle/pull/61509
ronny1996,8,2024-07-10 18:20:10,https://github.com/PaddlePaddle/PaddleNLP/pull/8747,15,2024-07-10 18:20:10,https://github.com/PaddlePaddle/PaddleNLP/pull/8747,0 days 01:46:28,https://github.com/PaddlePaddle/PaddleNLP/pull/8747,,
rsj123,0,,,0,,,0,0,2024-05-16 00:20:53,https://github.com/PaddlePaddle/PaddleDetection/pull/8983
runzhech,50,2024-01-22 20:32:17,https://github.com/PaddlePaddle/Paddle/pull/61029,25,2024-01-22 20:32:17,https://github.com/PaddlePaddle/Paddle/pull/61029,2 days 12:01:06,https://github.com/PaddlePaddle/Paddle/pull/63759,,
samthakur587,0,,,0,,,0,0,,
sfc-gh-dkajtoch,0,,,0,,,0,0,,
shadedbluebird,982,2024-08-23 14:06:14,https://github.com/PaddlePaddle/Paddle-Lite/pull/10560,157,2024-08-23 14:06:14,https://github.com/PaddlePaddle/Paddle-Lite/pull/10560,0 days 02:06:50,https://github.com/PaddlePaddle/Paddle-Lite/pull/10561,,
shang-mt,37,2024-11-29 11:15:43,https://github.com/PaddlePaddle/Paddle/pull/69817,24,2024-11-29 11:15:43,https://github.com/PaddlePaddle/Paddle/pull/69817,4 days 03:03:08,https://github.com/PaddlePaddle/Paddle/pull/69817,,
shenghwa,7,2024-01-12 14:06:58,https://github.com/PaddlePaddle/PaddleNLP/pull/7836,10,2024-01-12 14:06:58,https://github.com/PaddlePaddle/PaddleNLP/pull/7836,0 days 02:14:22,https://github.com/PaddlePaddle/PaddleNLP/pull/7836,,
shiyutang,3,2024-03-06 20:07:25,https://github.com/PaddlePaddle/PaddleSeg/pull/3661,3,2024-03-06 20:07:25,https://github.com/PaddlePaddle/PaddleSeg/pull/3661,4 days 18:21:31,https://github.com/PaddlePaddle/PaddleSeg/pull/3661,,
sijunhe,6,2024-07-02 16:42:42,https://github.com/PaddlePaddle/ERNIE-SDK/pull/353,1,2024-04-12 16:54:27,https://github.com/PaddlePaddle/PaddleNLP/pull/8268,0 days 00:10:03,https://github.com/PaddlePaddle/ERNIE-SDK/pull/353,,
sisrfeng,0,,,0,,,0,0,,
smile2game,479,2024-11-09 23:06:13,https://github.com/PaddlePaddle/Paddle/pull/69265,25,2024-11-09 23:06:13,https://github.com/PaddlePaddle/Paddle/pull/69265,28 days 16:17:25,https://github.com/PaddlePaddle/Paddle/pull/69265,,
