User,Month,Issues,PRs,Merges
BeyondYourself,3,2,0,0
BeyondYourself,4,1,0,0
BeyondYourself,6,1,0,0
BeyondYourself,7,1,0,0
Biekangdong,6,1,0,0
BigFace123,7,1,0,0
BillLZD,4,1,0,0
Bishow-99,7,1,0,0
BlankConan,1,1,0,0
Bob0123456,4,2,0,0
Bob0123456,6,1,0,0
Bodarobi,2,1,0,0
Bonoy0328,4,1,0,0
Boom-Wang,10,1,0,0
Boom-Wang,12,1,0,0
BotAndyGao,8,1,0,0
BotAndyGao,10,1,0,0
Bradly-s,1,2,0,0
Bradly-s,11,1,0,0
Bradly-s,12,1,0,0
BrightXiaoHan,1,1,0,0
Brutal15229,11,1,0,0
BuiPhamSonHa,2,1,0,0
BuiPhamSonHa,3,2,0,0
BurdenRaxs,1,1,0,0
C-rawler,8,1,0,0
CCbird,11,1,0,0
CF-chen-feng-CF,9,1,0,0
CJ0510,1,1,0,0
CQMalaxg,4,3,0,0
CUTEPKQ,4,1,0,0
CXSforHPU,3,1,0,0
CZMmin,4,1,0,0
Camas9,7,1,0,0
CanJie,8,1,0,0
Capiday,3,1,0,0
Capricorn-18,4,1,0,0
Carious-ads,7,1,0,0
CashBai,8,4,0,0
CashBai,10,8,0,0
CashBai,11,1,0,0
CashBai,12,2,0,0
Catherine-aka,11,1,0,0
Cercis1,5,1,0,0
ChYHENG123,7,1,0,0
ChaoII,1,1,4,0
ChaoII,2,1,4,0
ChaoII,3,2,7,0
ChaoII,4,1,3,0
ChaoII,6,1,0,0
ChaoII,7,5,4,0
ChaoII,12,3,0,0
Charlesjc-lab,8,1,0,0
CharmingHue,1,1,0,0
CharmingHue,3,1,0,0
ChenControl,12,2,0,0
CheneyYin,7,1,0,0
Chenfeixia,3,1,0,0
ChengMing520,8,1,0,0
ChenjieXu,2,4,6,0
ChenjieXu,3,1,0,0
Chenkeyi43,1,1,0,0
Chernyn,2,1,0,0
Chetancool,7,1,0,0
ChevalierOhm,5,2,0,0
ChocoWu,7,1,0,0
Chriost,11,1,0,0
Chuge0335,7,2,0,0
Chuge0335,8,1,0,0
Circleee7,8,2,0,0
CodeRic28,1,1,0,0
ConnectingDNA-Depositary,7,1,0,0
CorbinFoucart,7,1,0,0
CrazyBoyM,7,1,6,0
CtSTS,3,1,0,0
CunYu0718,7,1,0,0
Cupcc,10,3,0,0
CvBokchoy,10,2,0,0
Cynthia-ly,12,2,0,0
DAAworld,1,1,0,0
DAAworld,7,1,0,0
DCC-lzhy,4,1,0,0
DLlearn,5,1,0,0
DUCH714,6,1,0,0
Daeshiyao,11,1,0,0
DanBrown47,1,1,0,0
Dandelion111,7,1,0,0
Dandelion111,9,1,0,0
Dandelion111,12,1,0,0
Daniel-969,3,1,0,0
Daniel-969,4,2,0,0
DarkenStar,11,1,0,0
Darksiderlyd,1,1,0,0
Darren0465,5,1,0,0
DarrenZhangug,11,1,0,0
David-dotcom666,1,2,0,0
David-dotcom666,5,1,0,0
David-dotcom666,7,2,0,0
David-dotcom666,8,5,0,0
David-dotcom666,9,2,0,0
David-dotcom666,12,1,0,0
DazzlingGalaxy,11,1,0,0
DeepAichemist,3,1,0,0
Derbins,3,1,0,0
Desperado-Jia,3,1,0,0
Dhao007,3,1,0,0
Dimweaker,5,1,0,0
Dimweaker,6,1,0,0
Dimweaker,7,1,0,0
Dimweaker,8,1,0,0
Dineshkumar-Anandan-ZS0367,2,3,0,0
Dineshkumar-Anandan-ZS0367,4,2,0,0
Dineshkumar-Anandan-ZS0367,5,1,0,0
DingHsun,6,1,0,0
Dingxiangtao,4,1,0,0
Dingxiangtao,10,1,0,0
DipanshuJuneja,7,1,0,0
DipanshuJuneja,9,1,0,0
DoItWithMe,12,1,0,0
DoctorDream,8,1,0,0
Dollhan,11,1,0,0
Doloxetine,1,1,0,0
Doloxetine,3,1,0,0
Doloxetine,8,1,0,0
DominicMukilan,7,1,0,0
Dong-star623,5,1,0,0
DongBaiYue,5,1,0,0
Double97828,4,1,0,0
Double97828,11,1,0,0
DrRyanHuang,2,1,0,0
DrRyanHuang,6,2,1,0
DrRyanHuang,10,1,0,0
DreamMaker777,3,4,0,0
Dreamkeeper66666,7,1,0,0
DrownFish19,4,1,0,0
DrownFish19,6,1,4,0
DrownFish19,7,1,7,0
E-Pudding,11,1,0,0
ERRORand,3,1,0,0
Eason-shu,11,1,0,0
Eddie-Wang1120,4,1,0,0
Eddie-Wang1120,5,2,0,0
Edward-YS,10,2,0,0
Edwina414,6,1,0,0
EliverQ,6,1,0,0
EliverQ,8,1,0,0
EmmonsCurse,1,2,0,0
EmmonsCurse,2,3,2,0
EmmonsCurse,3,1,0,0
EmmonsCurse,4,3,1,4
Endlesswinds,7,1,0,0
Endlesswinds,8,1,0,0
EnflameGCU,8,1,1,0
Enoch9x9,11,1,0,0
Enzo-bit-beep,3,1,0,0
EricDing618,1,2,0,0
ErnestinaQiu,1,1,0,0
ErshovVE,6,1,0,0
EvW1998,10,1,0,0
EvW1998,11,2,0,0
EvilCalf,7,1,0,0
Evle-liu,6,1,0,0
ExtReMLapin,2,1,0,0
EzcodingSen,11,1,0,0
FAUST-BENCHOU,3,1,0,0
FHhui,11,2,0,0
FRAki73,11,1,0,0
Faichuis,4,1,0,0
FarV-Ma,10,1,0,0
Farooq87,7,1,0,0
Felix0525,3,1,0,0
FengJin-cv,10,1,0,0
FengfengLiang1112222,6,1,0,0
Fenglinhsh,9,1,0,0
File-z-J,3,1,0,0
Firestick-Xia,6,1,0,0
FishSmallL,10,2,0,0
Fissionalist,3,1,0,0
Fizzmy,12,1,0,0
FloatFrank,7,1,0,0
Fly2flies,1,1,0,0
FlyDut,10,1,0,0
Forever0713,12,1,0,0
FrankSheng,2,1,0,0
FrankyTang,5,1,0,0
FunnyWii,1,2,1,0
GDbbq,1,1,0,0
GGGame1,9,1,0,0
